Filename, Expected Match, Found Match (Top-top_5), Correct Match?, Matched Names
Aaron_Peirsol_0004.jpg, Yes, Yes, YES, Aaron_Peirsol_0003.jpg
Aaron_Sorkin_0001.jpg, Yes, Yes, YES, Aaron_Sorkin_0002.jpg
Abdel_Nasser_Assidi_0001.jpg, Yes, Yes, YES, Abdel_Nasser_Assidi_0002.jpg
Abdoulaye_Wade_0004.jpg, Yes, No, NO, 
Abdullah_0002.jpg, Yes, Yes, YES, Abdullah_0003.jpg
Abdullah_Gul_0014.jpg, Yes, Yes, YES, Abdullah_Gul_0006.jpg
Abdullah_al-Attiyah_0001.jpg, Yes, Yes, YES, Abdullah_al-Attiyah_0002.jpg
Abdullatif_Sener_0002.jpg, Yes, No, NO, 
Abel_Pacheco_0003.jpg, Yes, Yes, YES, Abel_Pacheco_0004.jpg
Abid_Hamid_Mahmud_Al-Tikriti_0001.jpg, Yes, Yes, YES, Abid_Hamid_Mahmud_Al-Tikriti_0002.jpg
Adam_Sandler_0001.jpg, Yes, Yes, YES, Adam_Sandler_0003.jpg
Adam_Scott_0001.jpg, Yes, No, NO, 
Adel_Al-Jubeir_0003.jpg, Yes, Yes, YES, Adel_Al-Jubeir_0001.jpg
Adolfo_Aguilar_Zinser_0002.jpg, Yes, Yes, YES, Adolfo_Aguilar_Zinser_0003.jpg
Adolfo_Rodriguez_Saa_0001.jpg, Yes, No, NO, 
Adrian_McPherson_0002.jpg, Yes, Yes, YES, Adrian_McPherson_0001.jpg
Adrian_Nastase_0001.jpg, Yes, Yes, YES, Adrian_Nastase_0002.jpg
Adrien_Brody_0002.jpg, Yes, Yes, YES, Adrien_Brody_0008.jpg
Ahmad_Masood_0001.jpg, Yes, No, NO, 
Ahmed_Chalabi_0003.jpg, Yes, Yes, YES, Ahmed_Chalabi_0001.jpg
Ahmet_Necdet_Sezer_0002.jpg, Yes, Yes, YES, Ahmet_Necdet_Sezer_0001.jpg
Ai_Sugiyama_0001.jpg, Yes, No, NO, 
Aicha_El_Ouafi_0001.jpg, Yes, Yes, YES, Aicha_El_Ouafi_0003.jpg
Aitor_Gonzalez_0001.jpg, Yes, Yes, YES, Aitor_Gonzalez_0002.jpg
Akbar_Hashemi_Rafsanjani_0003.jpg, Yes, Yes, YES, Akbar_Hashemi_Rafsanjani_0001.jpg
Akhmed_Zakayev_0001.jpg, Yes, Yes, YES, Akhmed_Zakayev_0003.jpg
Al_Davis_0001.jpg, Yes, Yes, YES, Al_Davis_0002.jpg
Al_Gore_0008.jpg, Yes, Yes, YES, Al_Gore_0007.jpg
Al_Pacino_0003.jpg, Yes, Yes, YES, Al_Pacino_0001.jpg
Al_Sharpton_0005.jpg, Yes, Yes, YES, Al_Sharpton_0002.jpg
Alan_Ball_0001.jpg, Yes, Yes, YES, Alan_Ball_0002.jpg
Alan_Greenspan_0005.jpg, Yes, Yes, YES, Alan_Greenspan_0004.jpg
Alan_Mulally_0002.jpg, Yes, No, NO, 
Alastair_Campbell_0005.jpg, Yes, No, NO, 
Albert_Costa_0002.jpg, Yes, Yes, YES, Albert_Costa_0003.jpg
Alberto_Fujimori_0001.jpg, Yes, Yes, YES, Alberto_Fujimori_0002.jpg
Alberto_Ruiz_Gallardon_0001.jpg, Yes, Yes, YES, Alberto_Ruiz_Gallardon_0002.jpg
Albrecht_Mentz_0001.jpg, Yes, Yes, YES, Albrecht_Mentz_0002.jpg, Gabriel_Valdes_0002.jpg, Hilmi_Ozkok_0002.jpg, Dick_Clark_0001.jpg
Aldo_Paredes_0001.jpg, Yes, No, NO, 
Alec_Baldwin_0004.jpg, Yes, Yes, YES, Alec_Baldwin_0001.jpg
Alejandro_Atchugarry_0001.jpg, Yes, Yes, YES, Alejandro_Atchugarry_0002.jpg
Alejandro_Avila_0002.jpg, Yes, No, NO, 
Alejandro_Toledo_0039.jpg, Yes, Yes, YES, Alejandro_Toledo_0028.jpg
Aleksander_Kwasniewski_0002.jpg, Yes, Yes, YES, Aleksander_Kwasniewski_0001.jpg
Alex_Barros_0001.jpg, Yes, No, NO, 
Alex_Penelas_0001.jpg, Yes, Yes, YES, Alex_Penelas_0002.jpg
